,index,player,Conceded,Scored,PlusMinus,Team,GameID,HomeAway
4,4,LaMarcus Aldridge,88.0,88.0,0.0,SAS,"=""0021701168""",Away
5,5,Manu Ginobili,76.0,64.0,-12.0,SAS,"=""0021701168""",Away
6,6,Patty Mills,80.0,64.0,-16.0,SAS,"=""0021701168""",Away
7,7,Pau Gasol,25.0,22.0,-3.0,SAS,"=""0021701168""",Away
8,8,Rudy Gay,47.0,41.0,-6.0,SAS,"=""0021701168""",Away
9,9,Tony Parker,40.0,40.0,0.0,SAS,"=""0021701168""",Away
0,0,Brandon Paul,7.0,7.0,0.0,SAS,21700519,Home
1,1,Bryn Forbes,67.0,65.0,-2.0,SAS,21700519,Home
2,2,Danny Green,47.0,64.0,17.0,SAS,21700519,Home
3,3,Davis Bertans,3.0,4.0,1.0,SAS,21700519,Home
4,4,Dejounte Murray,20.0,23.0,3.0,SAS,21700519,Home
5,5,Kyle Anderson,62.0,87.0,25.0,SAS,21700519,Home
6,6,LaMarcus Aldridge,84.0,95.0,11.0,SAS,21700519,Home
7,7,Manu Ginobili,47.0,35.0,-12.0,SAS,21700519,Home
8,8,Patty Mills,42.0,42.0,0.0,SAS,21700519,Home
9,9,Pau Gasol,53.0,63.0,10.0,SAS,21700519,Home
10,10,Rudy Gay,34.0,30.0,-4.0,SAS,21700519,Home
11,11,Tony Parker,69.0,80.0,11.0,SAS,21700519,Home
0,0,Brandon Paul,11.0,4.0,-7.0,SAS,"=""0021700323""",Away
1,1,Bryn Forbes,34.0,38.0,4.0,SAS,"=""0021700323""",Away
2,2,Danny Green,41.0,54.0,13.0,SAS,"=""0021700323""",Away
3,3,Davis Bertans,9.0,2.0,-7.0,SAS,"=""0021700323""",Away
4,4,Dejounte Murray,20.0,17.0,-3.0,SAS,"=""0021700323""",Away
5,5,Joffrey Lauvergne,20.0,20.0,0.0,SAS,"=""0021700323""",Away
6,6,Kyle Anderson,43.0,49.0,6.0,SAS,"=""0021700323""",Away
7,7,LaMarcus Aldridge,52.0,61.0,9.0,SAS,"=""0021700323""",Away
8,8,Manu Ginobili,30.0,62.0,32.0,SAS,"=""0021700323""",Away
9,9,Patty Mills,33.0,47.0,14.0,SAS,"=""0021700323""",Away
10,10,Pau Gasol,45.0,51.0,6.0,SAS,"=""0021700323""",Away
11,11,Rudy Gay,31.0,39.0,8.0,SAS,"=""0021700323""",Away
12,12,Tony Parker,26.0,31.0,5.0,SAS,"=""0021700323""",Away
0,0,Danny Green,60.0,58.0,-2.0,SAS,"=""0021701126""",Home
1,1,Davis Bertans,13.0,25.0,12.0,SAS,"=""0021701126""",Home
2,2,Dejounte Murray,58.0,62.0,4.0,SAS,"=""0021701126""",Home
3,3,Kyle Anderson,47.0,52.0,5.0,SAS,"=""0021701126""",Home
4,4,LaMarcus Aldridge,79.0,69.0,-10.0,SAS,"=""0021701126""",Home
5,5,Manu Ginobili,30.0,40.0,10.0,SAS,"=""0021701126""",Home
6,6,Patty Mills,69.0,66.0,-3.0,SAS,"=""0021701126""",Home
7,7,Pau Gasol,37.0,58.0,21.0,SAS,"=""0021701126""",Home
8,8,Rudy Gay,61.0,47.0,-14.0,SAS,"=""0021701126""",Home
9,9,Tony Parker,41.0,38.0,-3.0,SAS,"=""0021701126""",Home
0,0,Bryn Forbes,42.0,47.0,5.0,SAS,"=""0021700894""",Away
1,1,Danny Green,48.0,59.0,11.0,SAS,"=""0021700894""",Away
2,2,Dejounte Murray,58.0,74.0,16.0,SAS,"=""0021700894""",Away
3,3,Joffrey Lauvergne,8.0,3.0,-5.0,SAS,"=""0021700894""",Away
4,4,Kyle Anderson,57.0,66.0,9.0,SAS,"=""0021700894""",Away
5,5,LaMarcus Aldridge,75.0,87.0,12.0,SAS,"=""0021700894""",Away
6,6,Patty Mills,72.0,80.0,8.0,SAS,"=""0021700894""",Away
7,7,Pau Gasol,46.0,62.0,16.0,SAS,"=""0021700894""",Away
8,8,Rudy Gay,29.0,39.0,10.0,SAS,"=""0021700894""",Away
9,9,Tony Parker,35.0,33.0,-2.0,SAS,"=""0021700894""",Away
0,0,Danny Green,38.0,37.0,-1.0,SAS,"=""0041700154""",Home
1,1,Davis Bertans,5.0,4.0,-1.0,SAS,"=""0041700154""",Home
2,2,Dejounte Murray,42.0,45.0,3.0,SAS,"=""0041700154""",Home
3,3,Kyle Anderson,41.0,50.0,9.0,SAS,"=""0041700154""",Home
4,4,LaMarcus Aldridge,72.0,79.0,7.0,SAS,"=""0041700154""",Home
5,5,Manu Ginobili,49.0,68.0,19.0,SAS,"=""0041700154""",Home
6,6,Patty Mills,57.0,78.0,21.0,SAS,"=""0041700154""",Home
7,7,Pau Gasol,44.0,45.0,1.0,SAS,"=""0041700154""",Home
8,8,Rudy Gay,61.0,76.0,15.0,SAS,"=""0041700154""",Home
9,9,Tony Parker,41.0,33.0,-8.0,SAS,"=""0041700154""",Home
0,0,Brandon Paul,4.0,1.0,-3.0,SAS,"=""0021701145""",Home
1,1,Bryn Forbes,26.0,18.0,-8.0,SAS,"=""0021701145""",Home
2,2,Danny Green,42.0,56.0,14.0,SAS,"=""0021701145""",Home
3,3,Davis Bertans,4.0,1.0,-3.0,SAS,"=""0021701145""",Home
4,4,Dejounte Murray,44.0,47.0,3.0,SAS,"=""0021701145""",Home
5,5,Joffrey Lauvergne,4.0,1.0,-3.0,SAS,"=""0021701145""",Home
6,6,Kyle Anderson,46.0,56.0,10.0,SAS,"=""0021701145""",Home
7,7,LaMarcus Aldridge,64.0,79.0,15.0,SAS,"=""0021701145""",Home
8,8,Manu Ginobili,40.0,56.0,16.0,SAS,"=""0021701145""",Home
9,9,Patty Mills,61.0,79.0,18.0,SAS,"=""0021701145""",Home
10,10,Pau Gasol,18.0,16.0,-2.0,SAS,"=""0021701145""",Home
11,11,Rudy Gay,37.0,57.0,20.0,SAS,"=""0021701145""",Home
12,12,Tony Parker,25.0,33.0,8.0,SAS,"=""0021701145""",Home
0,0,Bryn Forbes,36.0,20.0,-16.0,SAS,"=""0041700152""",Away
1,1,Danny Green,67.0,43.0,-24.0,SAS,"=""0041700152""",Away
2,2,Davis Bertans,54.0,58.0,4.0,SAS,"=""0041700152""",Away
3,3,Dejounte Murray,35.0,20.0,-15.0,SAS,"=""0041700152""",Away
4,4,Derrick White,6.0,4.0,-2.0,SAS,"=""0041700152""",Away
5,5,Kyle Anderson,16.0,18.0,2.0,SAS,"=""0041700152""",Away
6,6,LaMarcus Aldridge,92.0,86.0,-6.0,SAS,"=""0041700152""",Away
7,7,Manu Ginobili,53.0,59.0,6.0,SAS,"=""0041700152""",Away
8,8,Patty Mills,81.0,76.0,-5.0,SAS,"=""0041700152""",Away
9,9,Pau Gasol,37.0,29.0,-8.0,SAS,"=""0041700152""",Away
10,10,Rudy Gay,91.0,82.0,-9.0,SAS,"=""0041700152""",Away
11,11,Tony Parker,12.0,10.0,-2.0,SAS,"=""0041700152""",Away
0,0,Brandon Paul,,3.0,3.0,SAS,"=""0021701210""",Home
1,1,Bryn Forbes,25.0,50.0,25.0,SAS,"=""0021701210""",Home
2,2,Danny Green,36.0,24.0,-12.0,SAS,"=""0021701210""",Home
3,3,Davis Bertans,16.0,17.0,1.0,SAS,"=""0021701210""",Home
4,4,Dejounte Murray,29.0,28.0,-1.0,SAS,"=""0021701210""",Home
5,5,Joffrey Lauvergne,,3.0,3.0,SAS,"=""0021701210""",Home
6,6,Kyle Anderson,45.0,51.0,6.0,SAS,"=""0021701210""",Home
7,7,LaMarcus Aldridge,60.0,59.0,-1.0,SAS,"=""0021701210""",Home
8,8,Manu Ginobili,45.0,62.0,17.0,SAS,"=""0021701210""",Home
9,9,Patty Mills,65.0,73.0,8.0,SAS,"=""0021701210""",Home
10,10,Pau Gasol,38.0,43.0,5.0,SAS,"=""0021701210""",Home
11,11,Rudy Gay,32.0,45.0,13.0,SAS,"=""0021701210""",Home
12,12,Tony Parker,34.0,32.0,-2.0,SAS,"=""0021701210""",Home
0,0,Brandon Paul,7.0,10.0,3.0,SAS,"=""0021700277""",Away
1,1,Bryn Forbes,37.0,33.0,-4.0,SAS,"=""0021700277""",Away
2,2,Danny Green,54.0,61.0,7.0,SAS,"=""0021700277""",Away
3,3,Davis Bertans,13.0,17.0,4.0,SAS,"=""0021700277""",Away
4,4,Dejounte Murray,47.0,51.0,4.0,SAS,"=""0021700277""",Away
5,5,Joffrey Lauvergne,7.0,10.0,3.0,SAS,"=""0021700277""",Away
6,6,Kyle Anderson,50.0,70.0,20.0,SAS,"=""0021700277""",Away
7,7,LaMarcus Aldridge,56.0,76.0,20.0,SAS,"=""0021700277""",Away
8,8,Manu Ginobili,37.0,46.0,9.0,SAS,"=""0021700277""",Away
9,9,Patty Mills,37.0,54.0,17.0,SAS,"=""0021700277""",Away
10,10,Pau Gasol,44.0,43.0,-1.0,SAS,"=""0021700277""",Away
11,11,Rudy Gay,41.0,59.0,18.0,SAS,"=""0021700277""",Away
0,0,Bryn Forbes,32.0,39.0,7.0,SAS,"=""0021700667""",Away
1,1,Danny Green,40.0,28.0,-12.0,SAS,"=""0021700667""",Away
2,2,Davis Bertans,33.0,27.0,-6.0,SAS,"=""0021700667""",Away
3,3,Dejounte Murray,47.0,43.0,-4.0,SAS,"=""0021700667""",Away
4,4,Joffrey Lauvergne,7.0,12.0,5.0,SAS,"=""0021700667""",Away
5,5,Kyle Anderson,53.0,57.0,4.0,SAS,"=""0021700667""",Away
6,6,LaMarcus Aldridge,67.0,69.0,2.0,SAS,"=""0021700667""",Away
7,7,Patty Mills,56.0,52.0,-4.0,SAS,"=""0021700667""",Away
8,8,Pau Gasol,65.0,58.0,-7.0,SAS,"=""0021700667""",Away
9,9,Tony Parker,30.0,30.0,0.0,SAS,"=""0021700667""",Away
0,0,Brandon Paul,11.0,12.0,1.0,SAS,"=""0021700617""",Away
1,1,Bryn Forbes,75.0,62.0,-13.0,SAS,"=""0021700617""",Away
2,2,Davis Bertans,38.0,22.0,-16.0,SAS,"=""0021700617""",Away
3,3,Dejounte Murray,41.0,49.0,8.0,SAS,"=""0021700617""",Away
4,4,Derrick White,13.0,20.0,7.0,SAS,"=""0021700617""",Away
5,5,Kyle Anderson,53.0,50.0,-3.0,SAS,"=""0021700617""",Away
6,6,LaMarcus Aldridge,62.0,66.0,4.0,SAS,"=""0021700617""",Away
7,7,Manu Ginobili,50.0,30.0,-20.0,SAS,"=""0021700617""",Away
8,8,Matt Costello,3.0,6.0,3.0,SAS,"=""0021700617""",Away
9,9,Patty Mills,45.0,32.0,-13.0,SAS,"=""0021700617""",Away
10,10,Pau Gasol,74.0,56.0,-18.0,SAS,"=""0021700617""",Away
0,0,Brandon Paul,2.0,2.0,0.0,SAS,"=""0021700550""",Away
1,1,Bryn Forbes,8.0,4.0,-4.0,SAS,"=""0021700550""",Away
2,2,Danny Green,28.0,31.0,3.0,SAS,"=""0021700550""",Away
3,3,Davis Bertans,35.0,38.0,3.0,SAS,"=""0021700550""",Away
4,4,Dejounte Murray,23.0,30.0,7.0,SAS,"=""0021700550""",Away
5,5,Kawhi Leonard,62.0,64.0,2.0,SAS,"=""0021700550""",Away
6,6,Kyle Anderson,50.0,61.0,11.0,SAS,"=""0021700550""",Away
7,7,LaMarcus Aldridge,64.0,81.0,17.0,SAS,"=""0021700550""",Away
8,8,Manu Ginobili,44.0,49.0,5.0,SAS,"=""0021700550""",Away
9,9,Patty Mills,36.0,46.0,10.0,SAS,"=""0021700550""",Away
10,10,Pau Gasol,56.0,45.0,-11.0,SAS,"=""0021700550""",Away
11,11,Tony Parker,47.0,49.0,2.0,SAS,"=""0021700550""",Away
0,0,Brandon Paul,3.0,6.0,3.0,SAS,"=""0021700764""",Home
1,1,Bryn Forbes,36.0,34.0,-2.0,SAS,"=""0021700764""",Home
2,2,Danny Green,64.0,52.0,-12.0,SAS,"=""0021700764""",Home
3,3,Darrun Hilliard,11.0,22.0,11.0,SAS,"=""0021700764""",Home
4,4,Davis Bertans,25.0,20.0,-5.0,SAS,"=""0021700764""",Home
5,5,Dejounte Murray,57.0,47.0,-10.0,SAS,"=""0021700764""",Home
6,6,Joffrey Lauvergne,3.0,6.0,3.0,SAS,"=""0021700764""",Home
7,7,Kyle Anderson,66.0,57.0,-9.0,SAS,"=""0021700764""",Home
8,8,LaMarcus Aldridge,80.0,62.0,-18.0,SAS,"=""0021700764""",Home
9,9,Manu Ginobili,44.0,36.0,-8.0,SAS,"=""0021700764""",Home
10,10,Patty Mills,53.0,47.0,-6.0,SAS,"=""0021700764""",Home
11,11,Pau Gasol,37.0,35.0,-2.0,SAS,"=""0021700764""",Home
12,12,Tony Parker,31.0,31.0,0.0,SAS,"=""0021700764""",Home
0,0,Brandon Paul,15.0,22.0,7.0,SAS,"=""0021700530""",Away
1,1,Bryn Forbes,47.0,47.0,0.0,SAS,"=""0021700530""",Away
2,2,Danny Green,43.0,23.0,-20.0,SAS,"=""0021700530""",Away
3,3,Davis Bertans,8.0,7.0,-1.0,SAS,"=""0021700530""",Away
4,4,Dejounte Murray,19.0,31.0,12.0,SAS,"=""0021700530""",Away
5,5,Joffrey Lauvergne,16.0,17.0,1.0,SAS,"=""0021700530""",Away
6,6,Kawhi Leonard,60.0,38.0,-22.0,SAS,"=""0021700530""",Away
7,7,Kyle Anderson,31.0,42.0,11.0,SAS,"=""0021700530""",Away
8,8,LaMarcus Aldridge,62.0,52.0,-10.0,SAS,"=""0021700530""",Away
9,9,Manu Ginobili,35.0,34.0,-1.0,SAS,"=""0021700530""",Away
10,10,Patty Mills,35.0,27.0,-8.0,SAS,"=""0021700530""",Away
11,11,Pau Gasol,47.0,31.0,-16.0,SAS,"=""0021700530""",Away
12,12,Tony Parker,47.0,24.0,-23.0,SAS,"=""0021700530""",Away
0,0,Brandon Paul,2.0,,-2.0,SAS,"=""0021700011""",Home
1,1,Bryn Forbes,2.0,,-2.0,SAS,"=""0021700011""",Home
2,2,Danny Green,66.0,74.0,8.0,SAS,"=""0021700011""",Home
3,3,Davis Bertans,10.0,4.0,-6.0,SAS,"=""0021700011""",Home
4,4,Dejounte Murray,54.0,57.0,3.0,SAS,"=""0021700011""",Home
5,5,Derrick White,2.0,,-2.0,SAS,"=""0021700011""",Home
6,6,Joffrey Lauvergne,28.0,27.0,-1.0,SAS,"=""0021700011""",Home
7,7,Kyle Anderson,65.0,67.0,2.0,SAS,"=""0021700011""",Home
8,8,LaMarcus Aldridge,77.0,91.0,14.0,SAS,"=""0021700011""",Home
9,9,Manu Ginobili,43.0,49.0,6.0,SAS,"=""0021700011""",Home
10,10,Patty Mills,43.0,50.0,7.0,SAS,"=""0021700011""",Home
11,11,Pau Gasol,58.0,66.0,8.0,SAS,"=""0021700011""",Home
12,12,Rudy Gay,45.0,50.0,5.0,SAS,"=""0021700011""",Home
0,0,Brandon Paul,1.0,4.0,3.0,SAS,"=""0021700707""",Away
1,1,Bryn Forbes,51.0,57.0,6.0,SAS,"=""0021700707""",Away
2,2,Danny Green,42.0,68.0,26.0,SAS,"=""0021700707""",Away
3,3,Darrun Hilliard,1.0,4.0,3.0,SAS,"=""0021700707""",Away
4,4,Davis Bertans,53.0,71.0,18.0,SAS,"=""0021700707""",Away
5,5,Dejounte Murray,41.0,65.0,24.0,SAS,"=""0021700707""",Away
6,6,Joffrey Lauvergne,36.0,43.0,7.0,SAS,"=""0021700707""",Away
7,7,Kyle Anderson,47.0,64.0,17.0,SAS,"=""0021700707""",Away
8,8,Patty Mills,51.0,51.0,0.0,SAS,"=""0021700707""",Away
9,9,Pau Gasol,59.0,74.0,15.0,SAS,"=""0021700707""",Away
10,10,Tony Parker,43.0,39.0,-4.0,SAS,"=""0021700707""",Away
0,0,Danny Green,71.0,53.0,-18.0,SAS,"=""0021700940""",Home
1,1,Davis Bertans,47.0,49.0,2.0,SAS,"=""0021700940""",Home
2,2,Dejounte Murray,47.0,54.0,7.0,SAS,"=""0021700940""",Home
3,3,Joffrey Lauvergne,40.0,25.0,-15.0,SAS,"=""0021700940""",Home
4,4,Kyle Anderson,45.0,55.0,10.0,SAS,"=""0021700940""",Home
5,5,Manu Ginobili,66.0,53.0,-13.0,SAS,"=""0021700940""",Home
6,6,Patty Mills,60.0,74.0,14.0,SAS,"=""0021700940""",Home
7,7,Pau Gasol,75.0,87.0,12.0,SAS,"=""0021700940""",Home
8,8,Rudy Gay,68.0,63.0,-5.0,SAS,"=""0021700940""",Home
9,9,Tony Parker,61.0,47.0,-14.0,SAS,"=""0021700940""",Home
0,0,Brandon Paul,5.0,5.0,0.0,SAS,21700641,Away
1,1,Bryn Forbes,45.0,45.0,0.0,SAS,21700641,Away
2,2,Danny Green,59.0,65.0,6.0,SAS,21700641,Away
3,3,Davis Bertans,58.0,48.0,-10.0,SAS,21700641,Away
4,4,Dejounte Murray,34.0,31.0,-3.0,SAS,21700641,Away
5,5,Joffrey Lauvergne,15.0,15.0,0.0,SAS,21700641,Away
6,6,Kyle Anderson,65.0,69.0,4.0,SAS,21700641,Away
7,7,LaMarcus Aldridge,76.0,72.0,-4.0,SAS,21700641,Away
8,8,Manu Ginobili,13.0,2.0,-11.0,SAS,21700641,Away
9,9,Patty Mills,52.0,49.0,-3.0,SAS,21700641,Away
10,10,Pau Gasol,33.0,41.0,8.0,SAS,21700641,Away
11,11,Tony Parker,55.0,53.0,-2.0,SAS,21700641,Away
0,0,Bryn Forbes,19.0,36.0,17.0,SAS,"=""0021700633""",Home
1,1,Danny Green,34.0,37.0,3.0,SAS,"=""0021700633""",Home
2,2,Davis Bertans,40.0,65.0,25.0,SAS,"=""0021700633""",Home
3,3,Dejounte Murray,11.0,30.0,19.0,SAS,"=""0021700633""",Home
4,4,Derrick White,6.0,11.0,5.0,SAS,"=""0021700633""",Home
5,5,Joffrey Lauvergne,14.0,18.0,4.0,SAS,"=""0021700633""",Home
6,6,Kawhi Leonard,55.0,70.0,15.0,SAS,"=""0021700633""",Home
7,7,Kyle Anderson,42.0,57.0,15.0,SAS,"=""0021700633""",Home
8,8,LaMarcus Aldridge,47.0,63.0,16.0,SAS,"=""0021700633""",Home
9,9,Manu Ginobili,30.0,42.0,12.0,SAS,"=""0021700633""",Home
10,10,Patty Mills,33.0,47.0,14.0,SAS,"=""0021700633""",Home
11,11,Pau Gasol,33.0,43.0,10.0,SAS,"=""0021700633""",Home
12,12,Tony Parker,36.0,41.0,5.0,SAS,"=""0021700633""",Home
0,0,Brandon Paul,34.0,43.0,9.0,SAS,"=""0021701108""",Away
1,1,Bryn Forbes,42.0,48.0,6.0,SAS,"=""0021701108""",Away
2,2,Danny Green,67.0,44.0,-23.0,SAS,"=""0021701108""",Away
3,3,Davis Bertans,45.0,52.0,7.0,SAS,"=""0021701108""",Away
4,4,Dejounte Murray,63.0,42.0,-21.0,SAS,"=""0021701108""",Away
5,5,Joffrey Lauvergne,37.0,47.0,10.0,SAS,"=""0021701108""",Away
6,6,Kyle Anderson,50.0,51.0,1.0,SAS,"=""0021701108""",Away
7,7,LaMarcus Aldridge,40.0,30.0,-10.0,SAS,"=""0021701108""",Away
8,8,Manu Ginobili,21.0,24.0,3.0,SAS,"=""0021701108""",Away
9,9,Patty Mills,66.0,49.0,-17.0,SAS,"=""0021701108""",Away
10,10,Pau Gasol,46.0,33.0,-13.0,SAS,"=""0021701108""",Away
11,11,Rudy Gay,33.0,32.0,-1.0,SAS,"=""0021701108""",Away
12,12,Tony Parker,36.0,35.0,-1.0,SAS,"=""0021701108""",Away
0,0,Bryn Forbes,40.0,37.0,-3.0,SAS,"=""0021701095""",Away
1,1,Danny Green,62.0,59.0,-3.0,SAS,"=""0021701095""",Away
2,2,Davis Bertans,2.0,4.0,2.0,SAS,"=""0021701095""",Away
3,3,Dejounte Murray,55.0,62.0,7.0,SAS,"=""0021701095""",Away
4,4,Kyle Anderson,50.0,45.0,-5.0,SAS,"=""0021701095""",Away
5,5,LaMarcus Aldridge,67.0,67.0,0.0,SAS,"=""0021701095""",Away
6,6,Manu Ginobili,41.0,34.0,-7.0,SAS,"=""0021701095""",Away
7,7,Patty Mills,67.0,68.0,1.0,SAS,"=""0021701095""",Away
8,8,Pau Gasol,49.0,58.0,9.0,SAS,"=""0021701095""",Away
9,9,Rudy Gay,47.0,42.0,-5.0,SAS,"=""0021701095""",Away
10,10,Tony Parker,50.0,39.0,-11.0,SAS,"=""0021701095""",Away
0,0,Brandon Paul,18.0,18.0,0.0,SAS,"=""0021700573""",Home
1,1,Bryn Forbes,47.0,69.0,22.0,SAS,"=""0021700573""",Home
2,2,Davis Bertans,43.0,49.0,6.0,SAS,"=""0021700573""",Home
3,3,Dejounte Murray,19.0,19.0,0.0,SAS,"=""0021700573""",Home
4,4,Derrick White,3.0,3.0,0.0,SAS,"=""0021700573""",Home
5,5,Joffrey Lauvergne,26.0,27.0,1.0,SAS,"=""0021700573""",Home
6,6,Kawhi Leonard,53.0,57.0,4.0,SAS,"=""0021700573""",Home
7,7,Kyle Anderson,55.0,66.0,11.0,SAS,"=""0021700573""",Home
8,8,Manu Ginobili,43.0,41.0,-2.0,SAS,"=""0021700573""",Home
9,9,Patty Mills,37.0,38.0,1.0,SAS,"=""0021700573""",Home
10,10,Pau Gasol,52.0,66.0,14.0,SAS,"=""0021700573""",Home
11,11,Tony Parker,49.0,62.0,13.0,SAS,"=""0021700573""",Home
0,0,Brandon Paul,69.0,71.0,2.0,SAS,"=""0021701001""",Away
1,1,Bryn Forbes,53.0,55.0,2.0,SAS,"=""0021701001""",Away
2,2,Danny Green,30.0,27.0,-3.0,SAS,"=""0021701001""",Away
3,3,Davis Bertans,43.0,45.0,2.0,SAS,"=""0021701001""",Away
4,4,Dejounte Murray,51.0,29.0,-22.0,SAS,"=""0021701001""",Away
5,5,Derrick White,33.0,38.0,5.0,SAS,"=""0021701001""",Away
6,6,Joffrey Lauvergne,49.0,41.0,-8.0,SAS,"=""0021701001""",Away
7,7,Kyle Anderson,37.0,20.0,-17.0,SAS,"=""0021701001""",Away
8,8,Matt Costello,27.0,33.0,6.0,SAS,"=""0021701001""",Away
9,9,Patty Mills,23.0,14.0,-9.0,SAS,"=""0021701001""",Away
10,10,Pau Gasol,33.0,19.0,-14.0,SAS,"=""0021701001""",Away
11,11,Rudy Gay,55.0,39.0,-16.0,SAS,"=""0021701001""",Away
12,12,Tony Parker,42.0,34.0,-8.0,SAS,"=""0021701001""",Away
0,0,Brandon Paul,31.0,22.0,-9.0,SAS,"=""0021700154""",Home
1,1,Bryn Forbes,29.0,30.0,1.0,SAS,"=""0021700154""",Home
2,2,Danny Green,58.0,76.0,18.0,SAS,"=""0021700154""",Home
3,3,Darrun Hilliard,6.0,3.0,-3.0,SAS,"=""0021700154""",Home
4,4,Davis Bertans,6.0,3.0,-3.0,SAS,"=""0021700154""",Home
5,5,Dejounte Murray,43.0,56.0,13.0,SAS,"=""0021700154""",Home
6,6,Kyle Anderson,66.0,74.0,8.0,SAS,"=""0021700154""",Home
7,7,LaMarcus Aldridge,65.0,83.0,18.0,SAS,"=""0021700154""",Home
8,8,Manu Ginobili,47.0,48.0,1.0,SAS,"=""0021700154""",Home
9,9,Patty Mills,64.0,64.0,0.0,SAS,"=""0021700154""",Home
10,10,Pau Gasol,65.0,75.0,10.0,SAS,"=""0021700154""",Home
11,11,Rudy Gay,55.0,66.0,11.0,SAS,"=""0021700154""",Home
0,0,Bryn Forbes,55.0,51.0,-4.0,SAS,"=""0021700492""",Away
1,1,Davis Bertans,11.0,15.0,4.0,SAS,"=""0021700492""",Away
2,2,Dejounte Murray,50.0,55.0,5.0,SAS,"=""0021700492""",Away
3,3,Kyle Anderson,51.0,56.0,5.0,SAS,"=""0021700492""",Away
4,4,LaMarcus Aldridge,81.0,86.0,5.0,SAS,"=""0021700492""",Away
5,5,Manu Ginobili,48.0,53.0,5.0,SAS,"=""0021700492""",Away
6,6,Patty Mills,44.0,57.0,13.0,SAS,"=""0021700492""",Away
7,7,Pau Gasol,68.0,71.0,3.0,SAS,"=""0021700492""",Away
8,8,Rudy Gay,38.0,43.0,5.0,SAS,"=""0021700492""",Away
9,9,Tony Parker,49.0,53.0,4.0,SAS,"=""0021700492""",Away
0,0,Brandon Paul,4.0,9.0,5.0,SAS,"=""0021701056""",Home
1,1,Bryn Forbes,36.0,16.0,-20.0,SAS,"=""0021701056""",Home
2,2,Danny Green,34.0,61.0,27.0,SAS,"=""0021701056""",Home
3,3,Davis Bertans,22.0,17.0,-5.0,SAS,"=""0021701056""",Home
4,4,Dejounte Murray,40.0,52.0,12.0,SAS,"=""0021701056""",Home
5,5,Joffrey Lauvergne,3.0,3.0,0.0,SAS,"=""0021701056""",Home
6,6,Kyle Anderson,23.0,53.0,30.0,SAS,"=""0021701056""",Home
7,7,LaMarcus Aldridge,36.0,69.0,33.0,SAS,"=""0021701056""",Home
8,8,Manu Ginobili,41.0,36.0,-5.0,SAS,"=""0021701056""",Home
9,9,Patty Mills,38.0,67.0,29.0,SAS,"=""0021701056""",Home
10,10,Pau Gasol,42.0,23.0,-19.0,SAS,"=""0021701056""",Home
11,11,Rudy Gay,26.0,17.0,-9.0,SAS,"=""0021701056""",Home
12,12,Tony Parker,30.0,22.0,-8.0,SAS,"=""0021701056""",Home
0,0,Bryn Forbes,25.0,40.0,15.0,SAS,21700750,Home
1,1,Danny Green,57.0,52.0,-5.0,SAS,21700750,Home
2,2,Davis Bertans,39.0,33.0,-6.0,SAS,21700750,Home
3,3,Dejounte Murray,55.0,56.0,1.0,SAS,21700750,Home
4,4,Kyle Anderson,70.0,75.0,5.0,SAS,21700750,Home
5,5,LaMarcus Aldridge,73.0,87.0,14.0,SAS,21700750,Home
6,6,Manu Ginobili,52.0,56.0,4.0,SAS,21700750,Home
7,7,Patty Mills,49.0,48.0,-1.0,SAS,21700750,Home
8,8,Pau Gasol,62.0,45.0,-17.0,SAS,21700750,Home
9,9,Tony Parker,38.0,38.0,0.0,SAS,21700750,Home
0,0,Brandon Paul,6.0,2.0,-4.0,SAS,"=""0021700223""",Home
1,1,Bryn Forbes,24.0,10.0,-14.0,SAS,"=""0021700223""",Home
2,2,Danny Green,67.0,78.0,11.0,SAS,"=""0021700223""",Home
3,3,Davis Bertans,20.0,32.0,12.0,SAS,"=""0021700223""",Home
4,4,Dejounte Murray,24.0,27.0,3.0,SAS,"=""0021700223""",Home
5,5,Joffrey Lauvergne,16.0,6.0,-10.0,SAS,"=""0021700223""",Home
6,6,Kyle Anderson,58.0,69.0,11.0,SAS,"=""0021700223""",Home
7,7,LaMarcus Aldridge,73.0,80.0,7.0,SAS,"=""0021700223""",Home
8,8,Manu Ginobili,45.0,35.0,-10.0,SAS,"=""0021700223""",Home
9,9,Patty Mills,71.0,75.0,4.0,SAS,"=""0021700223""",Home
10,10,Pau Gasol,53.0,73.0,20.0,SAS,"=""0021700223""",Home
11,11,Rudy Gay,48.0,33.0,-15.0,SAS,"=""0021700223""",Home
0,0,Brandon Paul,29.0,27.0,-2.0,SAS,"=""0021700596""",Away
1,1,Bryn Forbes,59.0,67.0,8.0,SAS,"=""0021700596""",Away
2,2,Davis Bertans,64.0,76.0,12.0,SAS,"=""0021700596""",Away
3,3,Dejounte Murray,44.0,42.0,-2.0,SAS,"=""0021700596""",Away
4,4,Derrick White,13.0,12.0,-1.0,SAS,"=""0021700596""",Away
5,5,Kyle Anderson,52.0,60.0,8.0,SAS,"=""0021700596""",Away
6,6,LaMarcus Aldridge,78.0,77.0,-1.0,SAS,"=""0021700596""",Away
7,7,Matt Costello,11.0,11.0,0.0,SAS,"=""0021700596""",Away
8,8,Patty Mills,58.0,73.0,15.0,SAS,"=""0021700596""",Away
9,9,Pau Gasol,47.0,50.0,3.0,SAS,"=""0021700596""",Away
10,10,Tony Parker,45.0,40.0,-5.0,SAS,"=""0021700596""",Away
